car,model_year,country,mileage,no_of_cylinders,displacement,hp,weight,acceleration,price
chevrolet chevelle malibu,1970,USA,18,8,307,130,3504,12,25561.5908
buick skylark 320,1970,USA,15,8,350,165,3693,11.5,24221.4227
plymouth satellite,1970,USA,18,8,318,150,3436,11,27240.8437
amc rebel sst,1970,USA,16,8,304,150,3433,12,33684.9689
ford torino,1970,USA,17,8,302,140,3449,10.5,20000
ford galaxie 500,1970,USA,15,8,429,198,4341,10,30000
chevrolet impala,1970,USA,14,8,454,220,4354,9,35764.3349
plymouth fury iii,1970,USA,14,8,440,215,4312,8.5,25899.4656
pontiac catalina,1970,USA,14,8,455,225,4425,10,32882.5371
amc ambassador dpl,1970,USA,15,8,390,190,3850,8.5,32617.0593
dodge challenger se,1970,USA,15,8,383,170,3563,10,30000
plymouth 'cuda 340,1970,USA,14,8,340,160,3609,8,33034.9226
chevrolet monte carlo,1970,USA,15,8,400,150,3761,9.5,30000
buick estate wagon (sw),1970,USA,14,8,455,225,3086,10,26608.3284
toyota corona mark ii,1970,Japan,24,4,113,95,2372,15,36927.0666
plymouth duster,1970,USA,22,6,198,95,2833,15.5,12561.1034
amc hornet,1970,USA,18,6,199,97,2774,15.5,24260.6224
ford maverick,1970,USA,21,6,200,85,2587,16,14228.3039
datsun pl510,1970,Japan,27,4,97,88,2130,14.5,15802.2394
volkswagen 1131 deluxe sedan,1970,Europe,26,4,97,46,1835,20.5,27471.2924
peugeot 504,1970,Europe,25,4,110,87,2672,17.5,40000
audi 100 ls,1970,Europe,24,4,107,90,2430,14.5,35897.4395
saab 99e,1970,Europe,25,4,104,95,2375,17.5,16905.8426
bmw 2002,1970,Europe,26,4,121,113,2234,12.5,15047.9894
amc gremlin,1970,USA,21,6,199,90,2648,15,14045.8951
ford f250,1970,USA,10,8,360,215,4615,14,25797.4854
chevy c20,1970,USA,10,8,307,200,4376,15,40000
dodge d200,1970,USA,11,8,318,210,4382,13.5,24928.4204
hi 1200d,1970,USA,9,8,304,193,4732,18.5,45072.5687
datsun pl510,1971,Japan,27,4,97,88,2130,14.5,16992.0815
chevrolet vega 2300,1971,USA,28,4,140,90,2264,15.5,13206.433
toyota corona,1971,Japan,25,4,113,95,2228,14,27078.798
ford pinto,1971,USA,25,4,98,,2046,19,26417.4354
amc gremlin,1971,USA,19,6,232,100,2634,13,30000
plymouth satellite custom,1971,USA,16,6,225,105,3439,15.5,44534.9707
chevrolet chevelle malibu,1971,USA,17,6,250,100,3329,15.5,40000
ford torino 500,1971,USA,19,6,250,88,3302,15.5,30000
amc matador,1971,USA,18,6,232,100,3288,15.5,33970.6656
chevrolet impala,1971,USA,14,8,350,165,4209,12,40000
pontiac catalina brougham,1971,USA,14,8,400,175,4464,11.5,33793.7228
ford galaxie 500,1971,USA,14,8,351,153,4154,13.5,30000
plymouth fury iii,1971,USA,14,8,318,150,4096,13,15358.8635
dodge monaco (sw),1971,USA,12,8,383,180,4955,11.5,23414.4171
ford country squire (sw),1971,USA,13,8,400,170,4746,12,44211.9122
pontiac safari (sw),1971,USA,13,8,400,175,5140,12,20000
amc hornet sportabout (sw),1971,USA,18,6,258,110,2962,13.5,33328.427
chevrolet vega (sw),1971,USA,22,4,140,72,2408,19,20000
pontiac firebird,1971,USA,19,6,250,100,3282,15,20000
ford mustang,1971,USA,18,6,250,88,3139,14.5,40000
mercury capri 2000,1971,USA,23,4,122,86,2220,14,27435.3959
opel 1900,1971,Europe,28,4,116,90,2123,14,20000
peugeot 304,1971,Europe,30,4,79,70,2074,19.5,36587.1186
fiat 124b,1971,Europe,30,4,88,76,2065,14.5,23790.8294
toyota corolla 1200,1971,Japan,31,4,71,65,1773,19,30000
datsun 1200,1971,Japan,35,4,72,69,1613,18,40000
volkswagen model 111,1971,Europe,27,4,97,60,1834,19,30000
plymouth cricket,1971,USA,26,4,91,70,1955,20.5,40000
toyota corona hardtop,1972,Japan,24,4,113,95,2278,15.5,40000
dodge colt hardtop,1972,USA,25,4,97.5,80,2126,17,20000
volkswagen type 3,1972,Europe,23,4,97,54,2254,23.5,26196.505
chevrolet vega,1972,USA,20,4,140,90,2408,19.5,33019.2081
ford pinto runabout,1972,USA,21,4,122,86,2226,16.5,36453.301
chevrolet impala,1972,USA,13,8,350,165,4274,12,40000
pontiac catalina,1972,USA,14,8,400,175,4385,12,26062.7936
plymouth fury iii,1972,USA,15,8,318,150,4135,13.5,34663.8395
ford galaxie 500,1972,USA,14,8,351,153,4129,13,20000
amc ambassador sst,1972,USA,17,8,304,150,3672,11.5,20000
mercury marquis,1972,USA,11,8,429,208,4633,11,16223.2683
buick lesabre custom,1972,USA,13,8,350,155,4502,13.5,5975.7095
oldsmobile delta 88 royale,1972,USA,12,8,350,160,4456,13.5,40000
chrysler newport royal,1972,USA,13,8,400,190,4422,12.5,33048.8012
mazda rx2 coupe,1972,Japan,19,3,70,97,2330,13.5,25558.0312
amc matador (sw),1972,USA,15,8,304,150,3892,12.5,1598.0734
chevrolet chevelle concours (sw),1972,USA,13,8,307,130,4098,14,20000
ford gran torino (sw),1972,USA,13,8,302,140,4294,16,30000
plymouth satellite custom (sw),1972,USA,14,8,318,150,4077,14,26693.7181
volvo 145e (sw),1972,Europe,18,4,121,112,2933,14.5,30000
volkswagen 411 (sw),1972,Europe,22,4,121,76,2511,18,40000
peugeot 504 (sw),1972,Europe,21,4,120,87,2979,19.5,16035.2971
renault 12 (sw),1972,Europe,26,4,96,69,2189,18,44239.2493
ford pinto (sw),1972,USA,22,4,122,86,2395,16,20000
datsun 510 (sw),1972,Japan,28,4,97,92,2288,17,36556.7442
toyouta corona mark ii (sw),1972,Japan,23,4,120,97,2506,14.5,30000
dodge colt (sw),1972,USA,28,4,98,80,2164,15,20000
toyota corolla 1600 (sw),1972,Japan,27,4,97,88,2100,16.5,35088.0287
buick century 350,1973,USA,13,8,350,175,4100,13,20000
amc matador,1973,USA,14,8,304,150,3672,11.5,30000
chevrolet malibu,1973,USA,13,8,350,145,3988,13,24364.5222
ford gran torino,1973,USA,14,8,302,137,4042,14.5,50306.1531
dodge coronet custom,1973,USA,15,8,318,150,3777,12.5,30000
mercury marquis brougham,1973,USA,12,8,429,198,4952,11.5,30000
chevrolet caprice classic,1973,USA,13,8,400,150,4464,12,35052.1921
ford ltd,1973,USA,13,8,351,158,4363,13,36489.4011
plymouth fury gran sedan,1973,USA,14,8,318,150,4237,14.5,53745.9381
chrysler new yorker brougham,1973,USA,13,8,440,215,4735,11,40000
buick electra 225 custom,1973,USA,12,8,455,225,4951,11,26260.6347
amc ambassador brougham,1973,USA,13,8,360,175,3821,11,40000
plymouth valiant,1973,USA,18,6,225,105,3121,16.5,23283.5247
chevrolet nova custom,1973,USA,16,6,250,100,3278,18,30000
amc hornet,1973,USA,18,6,232,100,2945,16,30000
ford maverick,1973,USA,18,6,250,88,3021,16.5,33726.8076
plymouth duster,1973,USA,23,6,198,95,2904,16,25211.0275
volkswagen super beetle,1973,Europe,26,4,97,46,1950,21,35994.5257
chevrolet impala,1973,USA,11,8,400,150,4997,14,24794.0744
ford country,1973,USA,12,8,400,167,4906,12.5,20000
plymouth custom suburb,1973,USA,13,8,360,170,4654,13,34078.9141
oldsmobile vista cruiser,1973,USA,12,8,350,180,4499,12.5,34538.9745
amc gremlin,1973,USA,18,6,232,100,2789,15,17410.0154
toyota carina,1973,Japan,20,4,97,88,2279,19,40000
chevrolet vega,1973,USA,21,4,140,72,2401,19.5,43478.0581
datsun 610,1973,Japan,22,4,108,94,2379,16.5,20000
maxda rx3,1973,Japan,18,3,70,90,2124,13.5,47897.3504
ford pinto,1973,USA,19,4,122,85,2310,18.5,40000
mercury capri v6,1973,USA,21,6,155,107,2472,14,30000
fiat 124 sport coupe,1973,Europe,26,4,98,90,2265,15.5,20000
chevrolet monte carlo s,1973,USA,15,8,350,145,4082,13,26355.6397
pontiac grand prix,1973,USA,16,8,400,230,4278,9.5,27104.0118
fiat 128,1973,Europe,29,4,68,49,1867,19.5,30000
opel manta,1973,Europe,24,4,116,75,2158,15.5,30000
audi 100ls,1973,Europe,20,4,114,91,2582,14,36717.9042
volvo 144ea,1973,Europe,19,4,121,112,2868,15.5,30000
dodge dart custom,1973,USA,15,8,318,150,3399,11,40000
saab 99le,1973,Europe,24,4,121,110,2660,14,30000
toyota mark ii,1973,Japan,20,6,156,122,2807,13.5,30000
oldsmobile omega,1973,USA,11,8,350,180,3664,11,9006.6489
plymouth duster,1974,USA,20,6,198,95,3102,16.5,20000
ford maverick,1974,USA,21,6,200,,2875,17,36836.7387
amc hornet,1974,USA,19,6,232,100,2901,16,30000
chevrolet nova,1974,USA,15,6,250,100,3336,17,34166.8899
datsun b210,1974,Japan,31,4,79,67,1950,19,30000
ford pinto,1974,USA,26,4,122,80,2451,16.5,40000
toyota corolla 1200,1974,Japan,32,4,71,65,1836,21,50430.4429
chevrolet vega,1974,USA,25,4,140,75,2542,17,30000
chevrolet chevelle malibu classic,1974,USA,16,6,250,100,3781,17,20000
amc matador,1974,USA,16,6,258,110,3632,18,35815.1074
plymouth satellite sebring,1974,USA,18,6,225,105,3613,16.5,30000
ford gran torino,1974,USA,16,8,302,140,4141,14,27027.8411
buick century luxus (sw),1974,USA,13,8,350,150,4699,14.5,20000
dodge coronet custom (sw),1974,USA,14,8,318,150,4457,13.5,30000
ford gran torino (sw),1974,USA,14,8,302,140,4638,16,43956.2728
amc matador (sw),1974,USA,14,8,304,150,4257,15.5,30000
audi fox,1974,Europe,29,4,98,83,2219,16.5,27392.704
volkswagen dasher,1974,Europe,26,4,79,67,1963,15.5,40000
opel manta,1974,Europe,26,4,97,78,2300,14.5,10064.4182
toyota corona,1974,Japan,31,4,76,52,1649,16.5,20000
datsun 710,1974,Japan,32,4,83,61,2003,19,22599.0212
dodge colt,1974,USA,28,4,90,75,2125,14.5,30000
fiat 128,1974,Europe,24,4,90,75,2108,15.5,36359.7724
fiat 124 tc,1974,Europe,26,4,116,75,2246,14,24285.003
honda civic,1974,Japan,24,4,120,97,2489,15,30000
subaru,1974,Japan,26,4,108,93,2391,15.5,26414.5083
fiat x1.9,1974,Europe,31,4,79,67,2000,16,8068.2317
plymouth valiant custom,1975,USA,19,6,225,95,3264,16,20000
chevrolet nova,1975,USA,18,6,250,105,3459,16,35725.2025
mercury monarch,1975,USA,15,6,250,72,3432,21,12388.9605
ford maverick,1975,USA,15,6,250,72,3158,19.5,30000
pontiac catalina,1975,USA,16,8,400,170,4668,11.5,40000
chevrolet bel air,1975,USA,15,8,350,145,4440,14,8844.1465
plymouth grand fury,1975,USA,16,8,318,150,4498,14.5,7250.2794
ford ltd,1975,USA,14,8,351,148,4657,13.5,40000
buick century,1975,USA,17,6,231,110,3907,21,43913.8179
chevroelt chevelle malibu,1975,USA,16,6,250,105,3897,18.5,16545.0095
amc matador,1975,USA,15,6,258,110,3730,19,25349.7773
plymouth fury,1975,USA,18,6,225,95,3785,19,30000
buick skyhawk,1975,USA,21,6,231,110,3039,15,34085.8056
chevrolet monza 2+2,1975,USA,20,8,262,110,3221,13.5,30000
ford mustang ii,1975,USA,13,8,302,129,3169,12,34458.3874
toyota corolla,1975,Japan,29,4,97,75,2171,16,30000
ford pinto,1975,USA,23,4,140,83,2639,17,16968.5563
amc gremlin,1975,USA,20,6,232,100,2914,16,22601.1785
pontiac astro,1975,USA,23,4,140,78,2592,18.5,30000
toyota corona,1975,Japan,24,4,134,96,2702,13.5,5579.3958
volkswagen dasher,1975,Europe,25,4,90,71,2223,16.5,34295.657
datsun 710,1975,Japan,24,4,119,97,2545,17,24359.8856
ford pinto,1975,USA,18,6,171,97,2984,14.5,40000
volkswagen rabbit,1975,Europe,29,4,90,70,1937,14,23555.6064
amc pacer,1975,USA,19,6,232,90,3211,17,25780.1977
audi 100ls,1975,Europe,23,4,115,95,2694,15,16577.4628
peugeot 504,1975,Europe,23,4,120,88,2957,17,30000
volvo 244dl,1975,Europe,22,4,121,98,2945,14.5,40000
saab 99le,1975,Europe,25,4,121,115,2671,13.5,17080.9786
honda civic cvcc,1975,Japan,33,4,91,53,1795,17.5,25436.9224
fiat 131,1976,Europe,28,4,107,86,2464,15.5,37495.9958
opel 1900,1976,Europe,25,4,116,81,2220,16.9,23325.5466
capri ii,1976,USA,25,4,140,92,2572,14.9,30000
dodge colt,1976,USA,26,4,98,79,2255,17.7,33128.2937
renault 12tl,1976,Europe,27,4,101,83,2202,15.3,30000
chevrolet chevelle malibu classic,1976,USA,17.5,8,305,140,4215,13,25546.6869
dodge coronet brougham,1976,USA,16,8,318,150,4190,13,20000
amc matador,1976,USA,15.5,8,304,120,3962,13.9,20000
